year,month,date,region,cause,deaths,farm_size_acres,avg_income_monthly
2000,3,2000-03-01,North,Malnutrition,2,10.8,265
2000,3,2000-03-01,North,Pesticide Exposure,2,9.5,120
2000,3,2000-03-01,North,Debt,3,13.9,175
2000,3,2000-03-01,North,Accident,2,15.5,201
2000,3,2000-03-01,North,Illness (Non-agri),2,11.6,241
2000,3,2000-03-01,North,Other,2,15.5,273
2000,3,2000-03-01,South,Suicide,6,8.4,119
2000,3,2000-03-01,South,Poor Crop Growth,4,7.4,323
2000,3,2000-03-01,South,Malnutrition,4,18.8,89
2000,3,2000-03-01,South,Pesticide Exposure,2,6.6,144
2000,3,2000-03-01,South,Debt,5,17.0,181
2000,3,2000-03-01,South,Accident,0,11.9,213
2000,3,2000-03-01,South,Illness (Non-agri),1,10.0,171
2000,3,2000-03-01,South,Other,2,15.0,203
2000,3,2000-03-01,East,Suicide,5,4.8,181
2000,3,2000-03-01,East,Poor Crop Growth,1,11.4,281
2000,3,2000-03-01,East,Malnutrition,1,4.1,271
2000,3,2000-03-01,East,Pesticide Exposure,0,6.9,182
2000,3,2000-03-01,East,Debt,3,7.7,156
2000,3,2000-03-01,East,Accident,2,12.0,387
2000,3,2000-03-01,East,Illness (Non-agri),1,13.2,209
2000,3,2000-03-01,East,Other,1,12.7,225
2000,3,2000-03-01,West,Suicide,8,13.8,164
2000,3,2000-03-01,West,Poor Crop Growth,7,4.1,200
2000,3,2000-03-01,West,Malnutrition,3,8.4,152
2000,3,2000-03-01,West,Pesticide Exposure,2,7.3,164
2000,3,2000-03-01,West,Debt,3,3.1,372
2000,3,2000-03-01,West,Accident,3,17.4,112
2000,3,2000-03-01,West,Illness (Non-agri),3,12.8,210
2000,3,2000-03-01,West,Other,1,9.6,339
2000,3,2000-03-01,Central,Suicide,2,10.2,239
2000,3,2000-03-01,Central,Poor Crop Growth,2,6.3,224
2000,3,2000-03-01,Central,Malnutrition,1,12.4,82
2000,3,2000-03-01,Central,Pesticide Exposure,3,0.5,50
2000,3,2000-03-01,Central,Debt,3,9.7,95
2000,3,2000-03-01,Central,Accident,2,9.9,137
2000,3,2000-03-01,Central,Illness (Non-agri),1,1.9,212
2000,3,2000-03-01,Central,Other,1,0.5,196
2000,4,2000-04-01,North,Suicide,1,12.2,88
2000,4,2000-04-01,North,Poor Crop Growth,1,13.2,200
2000,4,2000-04-01,North,Malnutrition,1,6.2,197
2000,4,2000-04-01,North,Pesticide Exposure,0,19.1,263
2000,4,2000-04-01,North,Debt,1,14.0,176
2000,4,2000-04-01,North,Accident,0,2.4,279
2000,4,2000-04-01,North,Illness (Non-agri),0,16.6,243
2000,4,2000-04-01,North,Other,0,12.9,247
2000,4,2000-04-01,South,Suicide,8,9.6,139
2000,4,2000-04-01,South,Poor Crop Growth,4,6.8,286
2000,4,2000-04-01,South,Malnutrition,4,11.6,211
2000,4,2000-04-01,South,Pesticide Exposure,4,11.0,116
2000,4,2000-04-01,South,Debt,3,5.3,279
2000,4,2000-04-01,South,Accident,2,13.9,155
2000,4,2000-04-01,South,Illness (Non-agri),2,14.0,215
2000,4,2000-04-01,South,Other,3,4.3,280
2000,4,2000-04-01,East,Suicide,3,13.4,50
2000,4,2000-04-01,East,Poor Crop Growth,2,15.3,113
2000,4,2000-04-01,East,Malnutrition,3,12.2,110
2000,4,2000-04-01,East,Pesticide Exposure,2,10.7,149
2000,4,2000-04-01,East,Debt,1,11.1,115
2000,4,2000-04-01,East,Accident,0,10.2,111
2000,4,2000-04-01,East,Illness (Non-agri),3,10.5,169
2000,4,2000-04-01,East,Other,3,21.2,251
2000,4,2000-04-01,West,Suicide,10,2.4,140
2000,4,2000-04-01,West,Poor Crop Growth,8,12.1,263
2000,4,2000-04-01,West,Malnutrition,5,13.4,50
2000,4,2000-04-01,West,Pesticide Exposure,3,5.4,276
2000,4,2000-04-01,West,Debt,6,8.0,311
2000,4,2000-04-01,West,Accident,4,15.0,198
2000,4,2000-04-01,West,Illness (Non-agri),1,8.8,84
2000,4,2000-04-01,West,Other,3,12.5,376
2000,4,2000-04-01,Central,Suicide,7,10.8,172
2000,4,2000-04-01,Central,Poor Crop Growth,5,12.7,166
2000,4,2000-04-01,Central,Malnutrition,4,12.1,314
2000,4,2000-04-01,Central,Pesticide Exposure,2,12.4,184
2000,4,2000-04-01,Central,Debt,5,14.8,203
2000,4,2000-04-01,Central,Accident,3,16.7,216
2000,4,2000-04-01,Central,Illness (Non-agri),5,12.0,160
2000,4,2000-04-01,Central,Other,2,13.5,247
2000,5,2000-05-01,North,Suicide,11,24.4,284
2000,5,2000-05-01,North,Poor Crop Growth,7,14.0,294
2000,5,2000-05-01,North,Malnutrition,5,18.9,336
2000,5,2000-05-01,North,Pesticide Exposure,2,7.0,175
2000,5,2000-05-01,North,Debt,8,13.4,202
2000,5,2000-05-01,North,Accident,4,5.9,178
2000,5,2000-05-01,North,Illness (Non-agri),2,10.7,210
2000,5,2000-05-01,North,Other,4,10.8,227
2000,5,2000-05-01,South,Suicide,6,11.6,191
2000,5,2000-05-01,South,Poor Crop Growth,4,5.6,245
2000,5,2000-05-01,South,Malnutrition,4,9.4,130
2000,5,2000-05-01,South,Pesticide Exposure,3,11.2,263
2000,5,2000-05-01,South,Debt,3,0.5,235
2000,5,2000-05-01,South,Accident,2,11.2,138
2000,5,2000-05-01,South,Illness (Non-agri),1,2.9,156
2000,5,2000-05-01,South,Other,2,11.5,116
2000,5,2000-05-01,East,Suicide,6,10.4,323
2000,5,2000-05-01,East,Poor Crop Growth,5,10.1,192
2000,5,2000-05-01,East,Malnutrition,4,9.6,158
2000,5,2000-05-01,East,Pesticide Exposure,2,18.2,130
2000,5,2000-05-01,East,Debt,3,5.5,269
2000,5,2000-05-01,East,Accident,1,16.5,81
2000,5,2000-05-01,East,Illness (Non-agri),2,11.3,203
2000,5,2000-05-01,East,Other,1,6.4,204
2000,5,2000-05-01,West,Suicide,6,9.9,265
2000,5,2000-05-01,West,Poor Crop Growth,5,10.4,50
2000,5,2000-05-01,West,Malnutrition,3,8.9,187
2000,5,2000-05-01,West,Pesticide Exposure,2,11.1,134
2000,5,2000-05-01,West,Debt,2,6.7,283
2000,5,2000-05-01,West,Accident,2,10.1,379
2000,5,2000-05-01,West,Illness (Non-agri),1,12.7,270
2000,5,2000-05-01,West,Other,2,8.5,293
2000,5,2000-05-01,Central,Suicide,5,15.1,268
2000,5,2000-05-01,Central,Poor Crop Growth,3,16.4,121
2000,5,2000-05-01,Central,Malnutrition,3,14.5,276
2000,5,2000-05-01,Central,Pesticide Exposure,0,15.7,144
2000,5,2000-05-01,Central,Debt,4,14.5,121
2000,5,2000-05-01,Central,Accident,2,12.9,176
2000,5,2000-05-01,Central,Illness (Non-agri),1,5.9,183
2000,5,2000-05-01,Central,Other,0,8.6,158
2000,6,2000-06-01,North,Suicide,6,6.8,78
2000,6,2000-06-01,North,Poor Crop Growth,5,9.7,192
2000,6,2000-06-01,North,Malnutrition,1,16.7,228
2000,6,2000-06-01,North,Pesticide Exposure,3,20.2,199
2000,6,2000-06-01,North,Debt,6,7.5,77
2000,6,2000-06-01,North,Accident,3,11.2,332
2000,6,2000-06-01,North,Illness (Non-agri),4,9.4,236
2000,6,2000-06-01,North,Other,3,5.7,217
2000,6,2000-06-01,South,Suicide,1,13.0,88
2000,6,2000-06-01,South,Poor Crop Growth,-1,15.8,156
2000,6,2000-06-01,South,Malnutrition,0,12.3,262
2000,6,2000-06-01,South,Pesticide Exposure,0,21.2,178
2000,6,2000-06-01,South,Debt,0,9.2,155
2000,6,2000-06-01,South,Accident,2,12.4,244
2000,6,2000-06-01,South,Illness (Non-agri),2,11.6,306
2000,6,2000-06-01,South,Other,0,12.5,250
2000,6,2000-06-01,East,Suicide,8,22.0,146
2000,6,2000-06-01,East,Poor Crop Growth,5,20.5,120
2000,6,2000-06-01,East,Malnutrition,4,4.9,154
2000,6,2000-06-01,East,Pesticide Exposure,5,9.0,146
2000,6,2000-06-01,East,Debt,4,9.9,223
2000,6,2000-06-01,East,Accident,4,10.2,206
2000,6,2000-06-01,East,Illness (Non-agri),2,8.4,163
2000,6,2000-06-01,East,Other,1,11.7,82
2000,6,2000-06-01,West,Suicide,4,11.2,223
2000,6,2000-06-01,West,Poor Crop Growth,0,10.3,162
2000,6,2000-06-01,West,Malnutrition,2,12.5,149
2000,6,2000-06-01,West,Pesticide Exposure,3,9.5,235
2000,6,2000-06-01,West,Debt,3,17.1,193
2000,6,2000-06-01,West,Accident,1,5.7,239
2000,6,2000-06-01,West,Illness (Non-agri),0,7.0,129
2000,6,2000-06-01,West,Other,0,16.6,379
2000,6,2000-06-01,Central,Suicide,3,16.9,279
2000,6,2000-06-01,Central,Poor Crop Growth,4,0.5,292
2000,6,2000-06-01,Central,Malnutrition,3,8.1,211
2000,6,2000-06-01,Central,Pesticide Exposure,2,2.5,259
2000,6,2000-06-01,Central,Debt,5,10.7,180
2000,6,2000-06-01,Central,Accident,2,12.5,284
2000,6,2000-06-01,Central,Illness (Non-agri),2,17.0,316
2000,6,2000-06-01,Central,Other,2,14.0,171
2000,7,2000-07-01,North,Suicide,5,13.6,302
2000,7,2000-07-01,North,Poor Crop Growth,3,15.9,305
2000,7,2000-07-01,North,Malnutrition,3,14.7,200
2000,7,2000-07-01,North,Pesticide Exposure,1,14.1,189
2000,7,2000-07-01,North,Debt,3,2.7,195
2000,7,2000-07-01,North,Accident,0,4.0,225
2000,7,2000-07-01,North,Illness (Non-agri),0,8.0,175
2000,7,2000-07-01,North,Other,1,8.0,193
2000,7,2000-07-01,South,Suicide,3,7.2,152
2000,7,2000-07-01,South,Poor Crop Growth,1,14.3,328
2000,7,2000-07-01,South,Malnutrition,2,5.8,176
2000,7,2000-07-01,South,Pesticide Exposure,4,9.0,190
2000,7,2000-07-01,South,Debt,3,13.4,258
2000,7,2000-07-01,South,Accident,3,15.9,185
2000,7,2000-07-01,South,Illness (Non-agri),1,17.5,262
2000,7,2000-07-01,South,Other,0,11.7,64
2000,7,2000-07-01,East,Suicide,6,8.6,249
2000,7,2000-07-01,East,Poor Crop Growth,5,4.7,144
2000,7,2000-07-01,East,Malnutrition,2,14.3,256
2000,7,2000-07-01,East,Pesticide Exposure,3,10.3,132
2000,7,2000-07-01,East,Debt,2,4.0,50
2000,7,2000-07-01,East,Accident,0,10.4,131
2000,7,2000-07-01,East,Illness (Non-agri),1,10.5,235
2000,7,2000-07-01,East,Other,2,6.8,101
2000,7,2000-07-01,West,Suicide,6,8.9,84
2000,7,2000-07-01,West,Poor Crop Growth,3,9.5,319
2000,7,2000-07-01,West,Malnutrition,2,8.4,270
2000,7,2000-07-01,West,Pesticide Exposure,2,2.1,168
2000,7,2000-07-01,West,Debt,2,10.6,213
2000,7,2000-07-01,West,Accident,0,9.2,187
2000,7,2000-07-01,West,Illness (Non-agri),1,13.4,215
2000,7,2000-07-01,West,Other,2,8.9,175
2000,7,2000-07-01,Central,Suicide,5,9.3,139
2000,7,2000-07-01,Central,Poor Crop Growth,5,13.4,191
2000,7,2000-07-01,Central,Malnutrition,3,16.1,189
2000,7,2000-07-01,Central,Pesticide Exposure,1,2.4,177
2000,7,2000-07-01,Central,Debt,4,10.3,272
2000,7,2000-07-01,Central,Accident,2,7.6,195
2000,7,2000-07-01,Central,Illness (Non-agri),3,10.3,304
2000,7,2000-07-01,Central,Other,3,17.7,70
2000,8,2000-08-01,North,Suicide,2,8.8,155
2000,8,2000-08-01,North,Poor Crop Growth,4,20.1,286
2000,8,2000-08-01,North,Malnutrition,1,4.3,135
2000,8,2000-08-01,North,Pesticide Exposure,0,7.2,212
2000,8,2000-08-01,North,Debt,4,6.9,163
2000,8,2000-08-01,North,Accident,2,12.8,77
2000,8,2000-08-01,North,Illness (Non-agri),2,21.4,231
2000,8,2000-08-01,North,Other,3,12.1,207
2000,8,2000-08-01,South,Suicide,7,20.0,50
2000,8,2000-08-01,South,Poor Crop Growth,3,5.7,214
2000,8,2000-08-01,South,Malnutrition,4,3.6,190
2000,8,2000-08-01,South,Pesticide Exposure,2,17.6,76
2000,8,2000-08-01,South,Debt,4,12.2,122
2000,8,2000-08-01,South,Accident,1,13.3,330
2000,8,2000-08-01,South,Illness (Non-agri),2,11.1,318
2000,8,2000-08-01,South,Other,1,11.6,79
2000,8,2000-08-01,East,Suicide,2,3.7,384
2000,8,2000-08-01,East,Poor Crop Growth,1,15.9,151
2000,8,2000-08-01,East,Malnutrition,1,8.6,81
2000,8,2000-08-01,East,Pesticide Exposure,1,3.3,341
2000,8,2000-08-01,East,Debt,5,13.6,157
2000,8,2000-08-01,East,Accident,1,10.0,189
2000,8,2000-08-01,East,Illness (Non-agri),1,12.6,105
2000,8,2000-08-01,East,Other,2,14.5,177
2000,8,2000-08-01,West,Suicide,5,4.8,50
2000,8,2000-08-01,West,Poor Crop Growth,1,11.5,257
2000,8,2000-08-01,West,Malnutrition,0,2.1,199
2000,8,2000-08-01,West,Pesticide Exposure,2,6.8,119
2000,8,2000-08-01,West,Debt,3,8.4,246
2000,8,2000-08-01,West,Accident,2,9.0,256
2000,8,2000-08-01,West,Illness (Non-agri),2,16.4,221
2000,8,2000-08-01,West,Other,3,12.0,57
2000,8,2000-08-01,Central,Suicide,5,0.5,118
2000,8,2000-08-01,Central,Poor Crop Growth,2,13.2,329
2000,8,2000-08-01,Central,Malnutrition,2,12.5,50
2000,8,2000-08-01,Central,Pesticide Exposure,3,10.0,153
2000,8,2000-08-01,Central,Debt,5,4.0,50
2000,8,2000-08-01,Central,Accident,2,5.6,170
2000,8,2000-08-01,Central,Illness (Non-agri),3,16.1,167
2000,8,2000-08-01,Central,Other,1,4.1,258
2000,9,2000-09-01,North,Suicide,8,6.2,249
2000,9,2000-09-01,North,Poor Crop Growth,4,7.5,371
2000,9,2000-09-01,North,Malnutrition,4,6.1,276
2000,9,2000-09-01,North,Pesticide Exposure,3,12.6,196
2000,9,2000-09-01,North,Debt,4,4.5,55
2000,9,2000-09-01,North,Accident,2,9.5,143
2000,9,2000-09-01,North,Illness (Non-agri),1,0.5,292
2000,9,2000-09-01,North,Other,2,19.7,302
2000,9,2000-09-01,South,Suicide,5,10.4,121
2000,9,2000-09-01,South,Poor Crop Growth,5,11.1,89
2000,9,2000-09-01,South,Malnutrition,3,2.1,305
2000,9,2000-09-01,South,Pesticide Exposure,1,15.4,221
2000,9,2000-09-01,South,Debt,4,11.3,163
2000,9,2000-09-01,South,Accident,2,8.9,130
2000,9,2000-09-01,South,Illness (Non-agri),3,15.6,213
2000,9,2000-09-01,South,Other,1,8.6,196
2000,9,2000-09-01,East,Suicide,5,8.5,390
2000,9,2000-09-01,East,Poor Crop Growth,4,1.9,205
2000,9,2000-09-01,East,Malnutrition,3,6.0,148
2000,9,2000-09-01,East,Pesticide Exposure,2,4.1,143
2000,9,2000-09-01,East,Debt,4,12.4,238
2000,9,2000-09-01,East,Accident,4,11.0,261
2000,9,2000-09-01,East,Illness (Non-agri),1,14.3,114
2000,9,2000-09-01,East,Other,2,3.4,342
2000,9,2000-09-01,West,Suicide,5,11.3,150
2000,9,2000-09-01,West,Poor Crop Growth,5,9.5,323
2000,9,2000-09-01,West,Malnutrition,2,9.9,261
2000,9,2000-09-01,West,Pesticide Exposure,1,26.6,86
2000,9,2000-09-01,West,Debt,3,16.0,342
2000,9,2000-09-01,West,Accident,3,8.7,192
2000,9,2000-09-01,West,Illness (Non-agri),3,3.8,141
2000,9,2000-09-01,West,Other,2,18.2,228
2000,9,2000-09-01,Central,Suicide,11,10.9,57
2000,9,2000-09-01,Central,Poor Crop Growth,7,7.5,118
2000,9,2000-09-01,Central,Malnutrition,5,17.6,274
2000,9,2000-09-01,Central,Pesticide Exposure,2,12.5,147
2000,9,2000-09-01,Central,Debt,6,14.4,248
2000,9,2000-09-01,Central,Accident,2,4.8,358
2000,9,2000-09-01,Central,Illness (Non-agri),4,9.2,251
2000,9,2000-09-01,Central,Other,1,13.0,328
2000,10,2000-10-01,North,Suicide,5,8.9,126
2000,10,2000-10-01,North,Poor Crop Growth,3,11.0,172
2000,10,2000-10-01,North,Malnutrition,1,14.4,224
2000,10,2000-10-01,North,Pesticide Exposure,2,16.9,122
2000,10,2000-10-01,North,Debt,3,7.0,109
2000,10,2000-10-01,North,Accident,3,11.7,122
2000,10,2000-10-01,North,Illness (Non-agri),3,18.8,227
2000,10,2000-10-01,North,Other,2,11.8,273
2000,10,2000-10-01,South,Suicide,7,5.8,222
2000,10,2000-10-01,South,Poor Crop Growth,5,10.8,291
2000,10,2000-10-01,South,Malnutrition,4,3.3,239
2000,10,2000-10-01,South,Pesticide Exposure,2,7.0,178
2000,10,2000-10-01,South,Debt,4,8.2,233
2000,10,2000-10-01,South,Accident,1,6.0,286
2000,10,2000-10-01,South,Illness (Non-agri),3,8.4,371
2000,10,2000-10-01,South,Other,2,12.3,153
2000,10,2000-10-01,East,Suicide,3,15.1,122
2000,10,2000-10-01,East,Poor Crop Growth,3,15.4,169
2000,10,2000-10-01,East,Malnutrition,1,15.7,121
2000,10,2000-10-01,East,Pesticide Exposure,1,13.6,216
2000,10,2000-10-01,East,Debt,3,9.4,247
2000,10,2000-10-01,East,Accident,3,10.3,257
2000,10,2000-10-01,East,Illness (Non-agri),1,14.0,138
2000,10,2000-10-01,East,Other,0,11.9,169
2000,10,2000-10-01,West,Suicide,11,9.9,206
2000,10,2000-10-01,West,Poor Crop Growth,9,7.6,93
2000,10,2000-10-01,West,Malnutrition,5,4.4,163
2000,10,2000-10-01,West,Pesticide Exposure,5,5.7,284
2000,10,2000-10-01,West,Debt,3,10.9,261
2000,10,2000-10-01,West,Accident,5,7.7,200
2000,10,2000-10-01,West,Illness (Non-agri),4,12.7,101
2000,10,2000-10-01,West,Other,2,9.6,273
2000,10,2000-10-01,Central,Suicide,8,1.7,125
2000,10,2000-10-01,Central,Poor Crop Growth,5,20.4,197
2000,10,2000-10-01,Central,Malnutrition,3,9.3,212
2000,10,2000-10-01,Central,Pesticide Exposure,3,5.7,141
2000,10,2000-10-01,Central,Debt,5,10.1,222
2000,10,2000-10-01,Central,Accident,3,6.1,328
2000,10,2000-10-01,Central,Illness (Non-agri),2,12.3,191
2000,10,2000-10-01,Central,Other,1,11.1,182
2000,11,2000-11-01,North,Suicide,9,14.3,50
2000,11,2000-11-01,North,Poor Crop Growth,8,1.1,180
2000,11,2000-11-01,North,Malnutrition,3,15.8,267
2000,11,2000-11-01,North,Pesticide Exposure,4,8.1,105
2000,11,2000-11-01,North,Debt,4,3.8,108
2000,11,2000-11-01,North,Accident,2,3.9,267
2000,11,2000-11-01,North,Illness (Non-agri),2,21.8,246
2000,11,2000-11-01,North,Other,1,15.9,167
2000,11,2000-11-01,South,Suicide,7,5.4,234
2000,11,2000-11-01,South,Poor Crop Growth,6,17.0,258
2000,11,2000-11-01,South,Malnutrition,3,6.3,74
2000,11,2000-11-01,South,Pesticide Exposure,5,3.9,171
2000,11,2000-11-01,South,Debt,4,11.7,247
2000,11,2000-11-01,South,Accident,3,10.8,296
2000,11,2000-11-01,South,Illness (Non-agri),2,12.0,131
2000,11,2000-11-01,South,Other,1,16.0,111
2000,11,2000-11-01,East,Suicide,6,10.0,140
2000,11,2000-11-01,East,Poor Crop Growth,6,0.5,331
2000,11,2000-11-01,East,Malnutrition,2,9.2,143
2000,11,2000-11-01,East,Pesticide Exposure,0,19.7,273
2000,11,2000-11-01,East,Debt,5,9.8,290
2000,11,2000-11-01,East,Accident,3,8.1,458
2000,11,2000-11-01,East,Illness (Non-agri),1,6.4,246
2000,11,2000-11-01,East,Other,0,3.0,204
2000,11,2000-11-01,West,Suicide,7,15.8,278
2000,11,2000-11-01,West,Poor Crop Growth,4,6.3,148
2000,11,2000-11-01,West,Malnutrition,2,10.2,188
2000,11,2000-11-01,West,Pesticide Exposure,3,17.2,107
2000,11,2000-11-01,West,Debt,4,7.6,204
2000,11,2000-11-01,West,Accident,2,3.7,231
2000,11,2000-11-01,West,Illness (Non-agri),1,9.9,292
2000,11,2000-11-01,West,Other,1,11.8,50
2000,11,2000-11-01,Central,Suicide,7,9.3,232
2000,11,2000-11-01,Central,Poor Crop Growth,6,17.6,186
2000,11,2000-11-01,Central,Malnutrition,1,10.6,252
2000,11,2000-11-01,Central,Pesticide Exposure,3,13.7,277
2000,11,2000-11-01,Central,Debt,5,5.7,359
2000,11,2000-11-01,Central,Accident,3,4.2,291
2000,11,2000-11-01,Central,Illness (Non-agri),0,13.5,151
2000,11,2000-11-01,Central,Other,0,15.1,112
2000,12,2000-12-01,North,Suicide,5,11.4,161
2000,12,2000-12-01,North,Poor Crop Growth,2,11.7,212
2000,12,2000-12-01,North,Malnutrition,1,0.5,322
2000,12,2000-12-01,North,Pesticide Exposure,0,6.3,178
2000,12,2000-12-01,North,Debt,4,10.3,238
2000,12,2000-12-01,North,Accident,3,15.8,313
2000,12,2000-12-01,North,Illness (Non-agri),3,16.4,322
2000,12,2000-12-01,North,Other,3,11.2,161
2000,12,2000-12-01,South,Suicide,11,6.8,206
2000,12,2000-12-01,South,Poor Crop Growth,6,10.3,222
2000,12,2000-12-01,South,Malnutrition,4,19.4,178
2000,12,2000-12-01,South,Pesticide Exposure,2,13.3,50
2000,12,2000-12-01,South,Debt,6,10.3,127
2000,12,2000-12-01,South,Accident,4,9.7,292
2000,12,2000-12-01,South,Illness (Non-agri),3,13.1,211
2000,12,2000-12-01,South,Other,3,14.7,101
2000,12,2000-12-01,East,Suicide,8,5.2,254
2000,12,2000-12-01,East,Poor Crop Growth,4,2.8,221
2000,12,2000-12-01,East,Malnutrition,0,2.2,326
2000,12,2000-12-01,East,Pesticide Exposure,3,5.7,231
2000,12,2000-12-01,East,Debt,4,3.1,279
2000,12,2000-12-01,East,Accident,3,20.0,192
2000,12,2000-12-01,East,Illness (Non-agri),4,5.9,208
2000,12,2000-12-01,East,Other,3,5.7,224
2000,12,2000-12-01,West,Suicide,8,9.1,111
2000,12,2000-12-01,West,Poor Crop Growth,5,4.9,107
2000,12,2000-12-01,West,Malnutrition,3,9.9,152
2000,12,2000-12-01,West,Pesticide Exposure,2,17.0,258
2000,12,2000-12-01,West,Debt,5,12.4,244
2000,12,2000-12-01,West,Accident,0,7.7,425
2000,12,2000-12-01,West,Illness (Non-agri),2,7.1,179
2000,12,2000-12-01,West,Other,3,9.3,244
2000,12,2000-12-01,Central,Suicide,6,0.7,85
2000,12,2000-12-01,Central,Poor Crop Growth,4,12.6,324
2000,12,2000-12-01,Central,Malnutrition,2,10.1,204
2000,12,2000-12-01,Central,Pesticide Exposure,2,17.7,106
2000,12,2000-12-01,Central,Debt,5,12.9,220
2000,12,2000-12-01,Central,Accident,2,11.1,382
2000,12,2000-12-01,Central,Illness (Non-agri),2,3.3,298
2000,12,2000-12-01,Central,Other,1,5.5,230
2001,1,2001-01-01,North,Suicide,6,16.6,186
2001,1,2001-01-01,North,Poor Crop Growth,4,6.1,160
2001,1,2001-01-01,North,Malnutrition,2,3.5,157
